vehicle_id,departure_ts,departure_location,arrival_ts,arrival_location,distance_km,payload_kg
vehicle_23,2024-01-02 11:50:26,location_253,2024-01-02 15:00:00,location_17,137.0,8831.26
vehicle_7,2024-01-02 13:21:30,location_112,2024-01-02 21:47:05,location_32,16.0,4856.13
vehicle_12,2024-01-02 12:00:00,location_108,2024-01-02 15:00:00,location_17,51.0,1009.28
vehicle_32,2024-01-02 09:26:06,location_167,2024-01-02 12:32:36,location_17,105.0,7319.34
vehicle_18,2024-01-02 06:53:29,location_25,2024-01-02 08:13:17,location_17,26.0,7707.98
vehicle_9,2024-01-02 12:00:00,location_27,2024-01-02 23:59:40,location_17,69.0,6584.48
vehicle_16,2024-01-02 09:38:00,location_292,2024-01-02 14:37:47,location_17,63.0,6542.3
vehicle_6,2024-01-02 10:07:02,location_182,2024-01-02 19:00:00,location_17,58.0,7853.97
vehicle_37,2024-01-02 12:26:43,location_298,2024-01-02 14:31:36,location_32,4.0,3860.75
vehicle_31,2024-01-02 11:10:52,location_28,2024-01-02 12:34:38,location_17,46.0,1562.17
vehicle_29,2024-01-02 11:00:00,location_259,2024-01-02 12:00:00,location_17,43.0,876.19
vehicle_0,2024-01-02 09:25:15,location_28,2024-01-02 15:00:00,location_17,170.0,3719.08
vehicle_31,2024-01-02 11:10:52,location_28,2024-01-02 12:34:38,location_17,124.0,3025.59
vehicle_11,2024-01-02 04:57:08,location_17,2024-01-02 06:01:15,location_182,56.0,20800.0
vehicle_30,2024-01-02 06:23:28,location_244,2024-01-02 10:41:39,location_78,89.0,2759.97
vehicle_11,2024-01-02 09:09:14,location_242,2024-01-02 12:42:38,location_82,137.0,25.0
vehicle_7,2024-01-02 08:12:28,location_38,2024-01-02 10:57:42,location_32,34.0,3838.94
vehicle_2,2024-01-02 13:00:00,location_259,2024-01-02 15:00:00,location_17,52.0,1873.71
vehicle_14,2024-01-02 11:00:00,location_259,2024-01-02 14:00:00,location_17,52.0,1900.76
vehicle_3,2024-01-02 13:00:00,location_259,2024-01-02 18:02:11,location_17,52.0,1340.23
vehicle_24,2024-01-02 10:08:00,location_127,2024-01-02 15:00:00,location_17,167.0,6941.75
vehicle_18,2024-01-02 12:10:41,location_149,2024-01-02 17:19:07,location_17,85.0,6430.49
vehicle_25,2024-01-02 14:00:31,location_184,2024-01-02 19:00:00,location_32,24.0,3687.07
vehicle_37,2024-01-02 07:34:32,location_39,2024-01-02 11:10:19,location_32,18.0,0.0
vehicle_37,2024-01-02 07:34:32,location_39,2024-01-02 11:10:19,location_32,13.0,0.0
vehicle_37,2024-01-02 07:34:32,location_39,2024-01-02 11:10:19,location_32,54.0,694.72
vehicle_22,2024-01-02 09:00:00,location_27,2024-01-02 11:00:00,location_17,69.0,22077.0
vehicle_4,2024-01-02 13:00:00,location_17,2024-01-02 14:23:00,location_173,88.0,1.0
vehicle_17,2024-01-02 05:30:00,location_292,2024-01-02 15:00:00,location_17,63.0,13004.49
vehicle_10,2024-01-02 07:00:00,location_292,2024-01-02 15:00:00,location_17,63.0,12855.41
vehicle_5,2024-01-02 09:30:00,location_292,2024-01-02 15:00:00,location_17,63.0,12855.41
vehicle_17,2024-01-02 11:50:00,location_238,2024-01-02 15:00:00,location_17,165.0,7211.24
vehicle_37,2024-01-02 00:01:00,location_32,2024-01-02 09:00:00,location_106,211.0,33.0
vehicle_2,2024-01-03 04:30:00,location_17,2024-01-03 07:30:00,location_299,75.0,1834.68
